기업명,대표자명,주소,스마트공장 전문분야,스마트공장 전문업종,공급기업 전문업종
주식회사 뎁스 ,황욱철,경상남도 창원시 의창구 차룡로48번길 52 (팔용동),MES/POP/APS,"SCM/WMS, 제조빅데이터/제조AI","식료품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
닮은꼴소프트,조원중,경기도 부천시 원미구 상일로 120 (상동),MES/POP/APS,ERP,"식료품 제조업, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 제품 제조업"
주식회사 에스브이티,김태훈,경기도 수원시 영통구 광교산로 154-42 (이의동),산업용로봇,"제어시스템/컨트롤러, CPS/디지털트윈, 제조빅데이터/제조AI, AR/VR/MR","금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 산업용 기계 및 장비 수리업"
보성오토메이션(주),김성복,부산광역시 금정구 개좌로 273-20 (회동동),제어시스템/컨트롤러,미등록,전기장비 제조업
(주)스페이스솔루션,송구용,경기도 오산시 수목원로 606 (세교동) 오산씨엘타워 312~314호,MES/POP/APS,미등록,고무 및 플라스틱제품 제조업
주식회사 인텔렉투스,"고선규, 김승욱",서울특별시 강남구 영동대로85길 13 (대치동),CPS/디지털트윈,제조빅데이터/제조AI,"식료품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
(주)랩큐,김한수,서울특별시 영등포구 양평로21길 26(양평동5가) 23층 2301호,제조빅데이터/제조AI,식별시스템/머신비전,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
주식회사 우성기계,이창우,경기도 파주시 월롱면 홀작로 70-113,AR/VR/MR,"산업용로봇, 스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, MES/POP/APS, 제조빅데이터/제조AI","금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)지이엔아이,목대균,경기도 안산시 단원구 엠티브이12로22번길 9,스마트장비,제어시스템/컨트롤러,기타 기계 및 장비 제조업
유디에스,함정우,경기도 성남시 수정구 금토로 75 (금토동),PLM/PDM,미등록,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
(주)명산,김판권,경북 영천시 임고면 수평길 108,MES/POP/APS,미등록,"1차 금속 제조업, 기타 기계 및 장비 제조업"
주식회사 시우이엔티,강무성,부산광역시 부산진구 중앙대로 922 (양정동),ERP,미등록,"식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
엠티에스 주식회사,김중언,전라남도 영암군 삼호읍 나불로 163,스마트장비,미등록,"고무 및 플라스틱제품 제조업, 기타 운송장비 제조업"
(주)에스에치테크놀로지,한상진,경기도 안양시 만안구 안양로 111 (안양동),제어시스템/컨트롤러,"QMS/CMMS, 제조빅데이터/제조AI","펄프. 종이 및 종이제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
하이퍼비주얼에이아이,정삼윤,경기도 용인시 기흥구 흥덕2로 15 (영덕동),식별시스템/머신비전,"산업용로봇, 센서/액추에이터","기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업"
주식회사 브릴스(BRILS Corp.),전진,인천광역시 연수구 갯벌로 94 (송도동),산업용로봇,"스마트장비, 제어시스템/컨트롤러, 센서/액추에이터","식료품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업"
(주)한국인프라,김기영,서울특별시 강남구 삼성로 150 (대치동) 극동교회B/D 3층 (주)한국인프라,PLM/PDM,미등록,"기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 산업용 기계 및 장비 수리업"
주식회사 서로,하지훈,인천광역시 연수구 송도미래로11번길 27 (송도동),MES/POP/APS,"스마트장비, ERP, 제조빅데이터/제조AI","고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
(주)하이팩테크,하헌준,인천광역시 서구 청라커낼로 280 (청라동),제조빅데이터/제조AI,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, MES/POP/APS, FEMS, CPS/디지털트윈","고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 자동차 및 트레일러 제조업"
(주)이룸디엔티,정윤규,경기도 군포시 고산로126번길 25 (당정동),산업용로봇,통신네트워크장비,"금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
주식회사 블루웍스,송혜자,경기도 성남시 분당구 판교역로 225-15 (삼평동),FEMS,통신네트워크장비,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
유스엠(주),박종화,"서울특별시 금천구 벚꽃로 298, 408호 (가산동,대륭포스트타워6차)",MES/POP/APS,"스마트장비, 식별시스템/머신비전","식료품 제조업, 펄프. 종이 및 종이제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
(주)포커스윈,박희찬,경상남도 창원시 마산회원구 내서읍 광려천남로 59,MES/POP/APS,"센서/액추에이터, SCM/WMS","비금속 광물제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업"
아이오티플러스,박영철,전라남도 나주시 교육길 13 (빛가람동),MES/POP/APS,"식별시스템/머신비전, ERP, SCM/WMS","식료품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)베스테크,원기정,경기도 화성시 동탄산단5길 10-19 (방교동),산업용로봇,"스마트장비, 제어시스템/컨트롤러",기타 기계 및 장비 제조업
(주)이앤비솔루션,김선빈,"경기도 용인시 기흥구 서천로201번길 14, 514-515호 (농서동)",제어시스템/컨트롤러,MES/POP/APS,"인쇄 및 기록매체 복제업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전기장비 제조업, 기타 기계 및 장비 제조업, 가구 제조업, 기타 제품 제조업"
주식회사 헥사아이,박주혁,서울특별시 강남구 선릉로125길 5 (논현동),ERP,"SCM/WMS, MES/POP/APS",식료품 제조업
(주)헤드아이티,김재환,전북특별자치도 전주시 완산구 홍산남로 19 (효자동2가),MES/POP/APS,제조빅데이터/제조AI,"식료품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 자동차 및 트레일러 제조업"
라씨(LASEE),석수민,경상북도 구미시 대학로 61 (양호동),MES/POP/APS,통신네트워크장비,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)글로브포인트,조상용,경기도 고양시 덕양구 삼원로 83 (원흥동),AR/VR/MR,미등록,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
주식회사 브이더블유원,이상훈,강원특별자치도 춘천시 춘천로 188 (효자동),제조빅데이터/제조AI,"클라우드컴퓨팅, 컨설팅/사이버보안","의료용 물질 및 의약품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 운송장비 제조업, 기타 제품 제조업"
다온플레이스 주식회사,박주현,전라남도 나주시 우정로 56 (빛가람동),제조빅데이터/제조AI,"클라우드컴퓨팅, 컨설팅/사이버보안","식료품 제조업, 음료 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업"
퓨처워크랩 주식회사,박은규,서울특별시 강남구 강남대로112길 47 (논현동),제조빅데이터/제조AI,"ERP, MES/POP/APS, CPS/디지털트윈, 컨설팅/사이버보안","식료품 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 인쇄 및 기록매체 복제업, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
폴라리스쓰리디,곽인범,경상북도 포항시 남구 시청로 18 (대잠동),산업용로봇,제어시스템/컨트롤러,"의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 기타 운송장비 제조업, 기타 제품 제조업"
(주)남영기계,백남헌,경기도 시흥시 공단1대로196번길 141 (정왕동),스마트장비,산업용로봇,"금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업"
주식회사 매일정보기술,서병훈,서울특별시 금천구 디지털로 121 (가산동) 에이스가산타워 1403호,MES/POP/APS,"스마트장비, SCM/WMS","식료품 제조업, 인쇄 및 기록매체 복제업, 고무 및 플라스틱제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업"
주식회사 뉴로센스,최윤희,"경기도 광명시 소하로 190(소하동) 광명G타워 A동 10층 13,14,15호",센서/액추에이터,"FEMS, 제조빅데이터/제조AI","고무 및 플라스틱제품 제조업, 1차 금속 제조업, 자동차 및 트레일러 제조업"
주식회사 유에듀케이션,정원석,경기도 수원시 권선구 세권로 219 (권선동),식별시스템/머신비전,"제어시스템/컨트롤러, ERP, MES/POP/APS, 컨설팅/사이버보안","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)에디넷,이병걸,부산광역시 동구 중앙대로308번길 3-6 (초량동),제조빅데이터/제조AI,"ERP, AR/VR/MR","펄프. 종이 및 종이제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 운송장비 제조업"
제이에스테크,엄진섭,광주광역시 북구 첨단연신로398번길 10 (연제동),산업용로봇,미등록,"전기장비 제조업, 기타 기계 및 장비 제조업"
주식회사 마루온,한연수,충청북도 청주시 청원구 오창읍 두릉유리로 1247,FEMS,"센서/액추에이터, 제조빅데이터/제조AI","전기장비 제조업, 기타 기계 및 장비 제조업"
(주)에이치원엘레멘트,최현숙,서울특별시 관악구 호암로 600 (신림동),MES/POP/APS,미등록,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
주식회사 리스너,"최성천, 김원",서울특별시 강남구 선릉로93길 27 (역삼동) 9층,MES/POP/APS,미등록,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)이파피루스,김정희,"경기도 성남시 분당구 판교역로 230 (삼평동) B동 408호(삼평동,삼환하이펙스)",제조빅데이터/제조AI,"스마트장비, QMS/CMMS","식료품 제조업, 음료 제조업, 코크스. 연탄 및 석유정제품 제조업, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 산업용 기계 및 장비 수리업"
(주)무한콘트롤,박영준,경기도 성남시 중원구 둔촌대로 560 (상대원동),MES/POP/APS,"제어시스템/컨트롤러, 센서/액추에이터","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
(주)하이컴텍,강구만,서울특별시 금천구 가산디지털1로 145 (가산동) 에이스하이엔드3차 1802호,제조빅데이터/제조AI,"식별시스템/머신비전, 제어시스템/컨트롤러, ERP, SCM/WMS, MES/POP/APS","고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
주식회사 티비씨,이기형,"충청북도 청주시 흥덕구 강내면 월곡길 38 충청대학교 1층 115호(제1생활관, i동)",MES/POP/APS,미등록,"식료품 제조업, 음료 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 기타 제품 제조업"
주식회사 케이이노텍,이근영,서울특별시 강남구 테헤란로84길 14 (대치동) 지어로빌딩 6층,PLM/PDM,클라우드컴퓨팅,"1차 금속 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업"
플래닝고,신진욱,서울특별시 관악구 낙성대로 2 (봉천동),CPS/디지털트윈,"ERP, SCM/WMS, MES/POP/APS, AR/VR/MR","섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업"
팸테크,이종준,부산광역시 기장군 기장읍 청강로 52,산업용로봇,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, MES/POP/APS, CPS/디지털트윈","전기장비 제조업, 기타 기계 및 장비 제조업"
유토피아ENT,김지훈,서울특별시 영등포구 버드나루로 119 (당산동),스마트장비,미등록,가죽. 가방 및 신발 제조업
(주)에코시안,문성철,서울특별시 금천구 디지털로9길 65 (가산동) 백상스타타워 1차 8F,FEMS,미등록,"담배 제조업, 인쇄 및 기록매체 복제업, 화학 물질 및 화학제품 제조업; 의약품 제외"
주식회사 엠에이아이오티,김환석,경기도 성남시 분당구 돌마로 86 (구미동),스마트장비,"산업용로봇, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비, AR/VR/MR","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
주식회사 대단,강건욱,"경기도 안산시 단원구 산단로 325, 11층 F-1125호(신길동, 안산스마트스퀘어1400)",제어시스템/컨트롤러,MES/POP/APS,"식료품 제조업, 음료 제조업"
주식회사 더모모스,정세민,경상남도 밀양시 하남읍 양동농공단지길 10,MES/POP/APS,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, ERP, SCM/WMS, FEMS, QMS/CMMS, CPS/디지털트윈, 제조빅데이터/제조AI, 컨설팅/사이버보안","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)모람씨앤티,구준서,서울특별시 광진구 아차산로73길 28 (광장동) 대광빌딩 3층,MES/POP/APS,미등록,"식료품 제조업, 펄프. 종이 및 종이제품 제조업"
(주)이트랜씨엔씨,정병주,광주광역시 동구 서남로 14 (서석동),MES/POP/APS,AR/VR/MR,산업용 기계 및 장비 수리업
데이터플라이 주식회사,한상렬,경기도 고양시 일산동구 동국로 32 (식사동),제조빅데이터/제조AI,미등록,"1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 제품 제조업"
(주)이에스엠,강용림,서울특별시 구로구 디지털로27길 36 (구로동),MES/POP/APS,미등록,"식료품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주) 유티아이,이경환,경상북도 구미시 산동읍 첨단기업4로 49-45,산업용로봇,제어시스템/컨트롤러,"전기장비 제조업, 산업용 기계 및 장비 수리업"
(주)디에스텍,박천덕,"경상북도 포항시 남구 연일읍 연일로145번길 72, 4층",MES/POP/APS,미등록,기타 제품 제조업
(주)엔이에스,박진수,충청북도 청주시 청원구 상당로 314 (내덕동) 369호,MES/POP/APS,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러","식료품 제조업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(주) 골든플래닛,김동성,서울특별시 강남구 언주로 535 (역삼동),제조빅데이터/제조AI,클라우드컴퓨팅,"식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
신성,강민서,충청남도 천안시 서북구 성환읍 성환1로 167,MES/POP/APS,"식별시스템/머신비전, 통신네트워크장비, CPS/디지털트윈, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 전성,김준홍,"대구광역시 남구 봉덕로 134 (봉덕동, 강변 코오롱 하늘채)",MES/POP/APS,"스마트장비, 센서/액추에이터, 제조빅데이터/제조AI, 컨설팅/사이버보안","식료품 제조업, 음료 제조업, 의복. 의복 액세서리 및 모피제품 제조업, 의료용 물질 및 의약품 제조업, 기타 제품 제조업"
포인트,오재영,경상남도 창원시 성산구 완암로 50 (성산동) 메카동 308호,산업용로봇,"제어시스템/컨트롤러, MES/POP/APS","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업"
건솔루션(주),김삼성,"경기도 안양시 만안구 일직로94번길 28, 6층 (석수동, (주)프로텍이노션 알앤디센터)",제조빅데이터/제조AI,"산업용로봇, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비, ERP, SCM/WMS, MES/POP/APS, QMS/CMMS, CPS/디지털트윈","금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)카이디어,차기룡,"경상북도 구미시 구미대로 350-27(신평동), 경북산학융합본부 407호",스마트장비,"ERP, SCM/WMS, MES/POP/APS","1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 산업용 기계 및 장비 수리업"
나우테스테크놀러지,임중권,경기도 안양시 동안구 학의로 282 (관양동),클라우드컴퓨팅,"스마트장비, 식별시스템/머신비전, 통신네트워크장비, QMS/CMMS, 제조빅데이터/제조AI, 컨설팅/사이버보안","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업"
(주)한성리프트,박광자,"부산광역시 사상구 주례로 12 (주례동, 광영빌딩)",스마트장비,"산업용로봇, 제어시스템/컨트롤러, 통신네트워크장비","식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 화학 물질 및 화학제품 제조업; 의약품 제외, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
대광F.A,박정호,부산광역시 강서구 낙동북로43번길 7 (강동동),제어시스템/컨트롤러,스마트장비,기타 기계 및 장비 제조업
평행공간,이지은,서울특별시 서초구 매헌로 16 (양재동),CPS/디지털트윈,"AR/VR/MR, 컨설팅/사이버보안","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
엔아이디소프트,최동준,서울특별시 금천구 가산디지털2로 144 (가산동),ERP,미등록,"섬유제품 제조업; 의복 제외, 펄프. 종이 및 종이제품 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
주식회사 지구자동화,임호동,경기도 화성시 팔탄면 하저자안로 169-44,산업용로봇,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터","식료품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 기타 운송장비 제조업, 기타 제품 제조업"
주식회사 텔롬엑스,강종규,대전광역시 동구 산내로 431-16 (하소동),MES/POP/APS,"식별시스템/머신비전, 제어시스템/컨트롤러, ERP","식료품 제조업, 음료 제조업, 목재 및 나무제품 제조업; 가구 제외, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 제품 제조업"
(주)토인,박호복,경기도 시흥시 시화벤처로 152 (정왕동),산업용로봇,미등록,"기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
제이픽스,조성우,대구광역시 동구 팔공로 149 (불로동),MES/POP/APS,ERP,"식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 산업용 기계 및 장비 수리업"
(주)티에스씨테크놀러지,고경민,경기도 안산시 단원구 산단로 232 (원시동),스마트장비,"식별시스템/머신비전, 제어시스템/컨트롤러","전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
알서포트 주식회사,서형수,서울특별시 강동구 고덕비즈밸리로2가길 12 (고덕동),제어시스템/컨트롤러,미등록,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
(주)에이치시티,허봉재,경기도 이천시 마장면 서이천로578번길 74,식별시스템/머신비전,"스마트장비, 센서/액추에이터, QMS/CMMS","식료품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업"
주식회사 에임스,"정상내,김건홍",경상남도 창원시 성산구 웅남로 316 (웅남동),산업용로봇,스마트장비,기타 기계 및 장비 제조업
아르고마린토탈(주),이권익,전라남도 광양시 제철로 1655-426 (금호동),SCM/WMS,미등록,기타 기계 및 장비 제조업
푸른들소프트,전재홍,대구광역시 남구 현충로 57 (대명동),ERP,"SCM/WMS, FEMS, QMS/CMMS","섬유제품 제조업; 의복 제외, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 제품 제조업"
스마터빌드(주),정대환,경기도 수원시 영통구 신원로 55 (신동),클라우드컴퓨팅,"FEMS, QMS/CMMS","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 제품 제조업"
