기업명,대표자명,주소,스마트공장 전문분야,스마트공장 전문업종,공급기업 전문업종
유라,엄대열,경기도 화성시 팔탄면 시청로 854,MES/POP/APS,"PLM/PDM, QMS/CMMS, 제조빅데이터/제조AI","식료품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 제스텍,박필석,인천광역시 서구 파랑로 495(청라동) 1동622호,제어시스템/컨트롤러,"MES/POP/APS, FEMS, 클라우드컴퓨팅","1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 제품 제조업"
(주)카스,김태인,경기도 양주시 광적면 그루고개로 262,스마트장비,"산업용로봇, 제어시스템/컨트롤러, QMS/CMMS, 클라우드컴퓨팅","기타 기계 및 장비 제조업, 기타 제품 제조업"
디딤솔루션코리아주식회사,정현철,경기도 용인시 기흥구 기흥로 58 (구갈동),MES/POP/APS,"ERP, 클라우드컴퓨팅","식료품 제조업, 의복. 의복 액세서리 및 모피제품 제조업, 펄프. 종이 및 종이제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(사)캠틱종합기술원,노상흡,전라북도 전주시 덕진구 유상로 67 (팔복동2가),제어시스템/컨트롤러,"산업용로봇, FEMS, 제조빅데이터/제조AI","전기장비 제조업, 기타 기계 및 장비 제조업"
제이드테크(주),강순규,경기도 여주시 세종대왕면 독골1길 84-26,제조빅데이터/제조AI,"스마트장비, 센서/액추에이터, PLM/PDM, SCM/WMS, MES/POP/APS, CPS/디지털트윈","음료 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
(주) 인사이트온,박승래,울산광역시 중구 종가5길 21 (유곡동),MES/POP/APS,"QMS/CMMS, 제조빅데이터/제조AI","코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 멀티로봇,조남호,경상남도 창원시 마산회원구 봉암공단로 6 (봉암동),산업용로봇,"스마트장비, 제어시스템/컨트롤러, 센서/액추에이터, MES/POP/APS","1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 모렌소프트,김민아,서울특별시 구로구 디지털로30길 31 (구로동),MES/POP/APS,"산업용로봇, 식별시스템/머신비전, 제어시스템/컨트롤러, SCM/WMS, FEMS, QMS/CMMS, 클라우드컴퓨팅, CPS/디지털트윈","식료품 제조업, 의복. 의복 액세서리 및 모피제품 제조업, 인쇄 및 기록매체 복제업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 에이아이로보틱스,손종욱,대구광역시 북구 경대로17길 47 (복현동),산업용로봇,"센서/액추에이터, FEMS, CPS/디지털트윈, 제조빅데이터/제조AI","식료품 제조업, 자동차 및 트레일러 제조업, 산업용 기계 및 장비 수리업"
(주)에이블정보시스템,이충인,경기도 용인시 기흥구 기흥로 58-1 (구갈동),PLM/PDM,QMS/CMMS,"식료품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
에스이테크(주),송희민,경기도 성남시 중원구 둔촌대로 545 (상대원동),스마트장비,미등록,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
(주)삼원기계,전순도,경상남도 김해시 골든루트로 130번길 12-5,산업용로봇,제어시스템/컨트롤러,기타 기계 및 장비 제조업
주식회사 새비로보틱스,정의인,인천광역시 연수구 송도미래로 30 (송도동),산업용로봇,미등록,"식료품 제조업, 음료 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
모멘트,양상열,경기도 부천시 조마루로385번길 122 (춘의동),산업용로봇,미등록,기타 기계 및 장비 제조업
풍광기계주식회사,장익순,"경기도 시흥시 정왕천로 253, 3나-404(정왕동,시화공단)",스마트장비,미등록,기타 기계 및 장비 제조업
주식회사 하이엔드,김명곤,경기도 용인시 기흥구 지삼로107번길 3-29(지곡동),스마트장비,미등록,기타 기계 및 장비 제조업
(주)리옵스,박희준,서울특별시 송파구 법원로4길 10 (문정동),산업용로봇,"식별시스템/머신비전, 제조빅데이터/제조AI",금속 가공제품 제조업; 기계 및 가구 제외
(주)웨다,최치민,"경기도 성남시 분당구 정자일로 15 (금곡동, 분당하우스토리), 2층202호",제조빅데이터/제조AI,"식별시스템/머신비전, 클라우드컴퓨팅","식료품 제조업, 음료 제조업, 고무 및 플라스틱제품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 자동차 및 트레일러 제조업, 산업용 기계 및 장비 수리업"
(주)플라잎,정태영,경기도 성남시 분당구 대왕판교로 660 (삼평동),산업용로봇,"제어시스템/컨트롤러, 제조빅데이터/제조AI","고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업"
주식회사 에스에프이,한철희,경기도 안산시 단원구 시화벤처로 695 (성곡동),산업용로봇,센서/액추에이터,"식료품 제조업, 음료 제조업, 목재 및 나무제품 제조업; 가구 제외, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업"
비주얼테크,심재웅,경기도 수원시 장안구 이목로 17 (이목동),ERP,MES/POP/APS,"고무 및 플라스틱제품 제조업, 기타 제품 제조업"
주식회사 엔에스솔루션,천정희,부산광역시 사상구 동주로 14 (주례동),FEMS,"제어시스템/컨트롤러, 클라우드컴퓨팅",전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
주식회사 줌인테크,전영진,경기도 광명시 일직로 43 (일직동),PLM/PDM,미등록,전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
주식회사 베터리얼,유광현,"경기도 성남시 중원구 사기막골로 52(상대원동), 307",MES/POP/APS,"제어시스템/컨트롤러, 센서/액추에이터, 클라우드컴퓨팅, 제조빅데이터/제조AI",화학 물질 및 화학제품 제조업; 의약품 제외
성화컴퍼니,이귀택,"경기도 화성시 동탄영천로 131(영천동) 12층 1203호 (영천동, 코너원스마트타워)",산업용로봇,제어시스템/컨트롤러,"전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
(주)엑스코어시스템,양용희,세종특별자치시 집현중앙7로 6 (집현동),센서/액추에이터,"제어시스템/컨트롤러, 통신네트워크장비, 클라우드컴퓨팅","식료품 제조업, 음료 제조업, 기타 제품 제조업"
(주)연합시스템,윤준삼,경기도 김포시 양촌읍 황금로323번길 26,CPS/디지털트윈,클라우드컴퓨팅,"금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업"
쿤텍 주식회사,방혁준,경기도 성남시 수정구 창업로 54(시흥동) 나동 2층32호 (LH기업성장센터),제조빅데이터/제조AI,미등록,"목재 및 나무제품 제조업; 가구 제외, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
씨디알시스템,안기탁,경기도 화성시 동탄역로 160 (오산동),CPS/디지털트윈,산업용로봇,"식료품 제조업, 음료 제조업, 인쇄 및 기록매체 복제업, 기타 제품 제조업"
지컴패니,변상일,서울특별시 금천구 가산디지털2로 101 (가산동),MES/POP/APS,"식별시스템/머신비전, 제어시스템/컨트롤러","식료품 제조업, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 제품 제조업"
에스티에스(주),남충환,경기도 용인시 기흥구 용구대로2145번길 39 (신갈동),산업용로봇,"스마트장비, 제어시스템/컨트롤러, MES/POP/APS","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업"
